assignment_id,hris_worker_id,position_id,job_code,job_title,job_family,job_level,primary_assignment_flag,fte_fraction,standard_hours_per_week,effective_start_date,effective_end_date
ASN-000001-01,HRIS-WKR-000001,POS-ENG-L5-0026,JOB-ENG-L5-02,Engineering L5 Role 02,ENG,L5,Y,1.0,39.0,2022-09-13,
ASN-000002-01,HRIS-WKR-000002,POS-FIN-L4-0093,JOB-FIN-L4-03,Finance L4 Role 03,FIN,L4,Y,1.0,39.0,2023-09-20,
ASN-000003-01,HRIS-WKR-000003,POS-ENG-L6-0032,JOB-ENG-L6-02,Engineering L6 Role 02,ENG,L6,Y,1.0,39.0,2025-02-22,
ASN-000004-01,HRIS-WKR-000004,POS-SAL-L4-0164,JOB-SAL-L4-02,Sales L4 Role 02,SAL,L4,Y,1.0,39.0,2018-02-18,
ASN-000005-01,HRIS-WKR-000005,POS-SAL-L6-0175,JOB-SAL-L6-01,Sales L6 Role 01,SAL,L6,Y,1.0,39.0,2021-04-22,
ASN-000006-01,HRIS-WKR-000006,POS-OPS-L2-0043,JOB-OPS-L2-01,Operations L2 Role 01,OPS,L2,Y,1.0,39.0,2021-04-07,
ASN-000007-01,HRIS-WKR-000007,POS-TEC-L4-0200,JOB-TEC-L4-02,Technology L4 Role 02,TEC,L4,Y,0.8,31.2,2023-05-18,
ASN-000008-01,HRIS-WKR-000008,POS-HR-L3-0125,JOB-HR-L3-05,People L3 Role 05,HR,L3,Y,1.0,39.0,2020-01-31,
ASN-000009-01,HRIS-WKR-000009,POS-ENG-L6-0033,JOB-ENG-L6-03,Engineering L6 Role 03,ENG,L6,Y,0.8,31.2,2020-06-18,
ASN-000010-01,HRIS-WKR-000010,POS-TEC-L6-0211,JOB-TEC-L6-01,Technology L6 Role 01,TEC,L6,Y,1.0,39.0,2024-01-31,
ASN-000011-01,HRIS-WKR-000011,POS-OPS-L4-0055,JOB-OPS-L4-01,Operations L4 Role 01,OPS,L4,Y,1.0,39.0,2020-04-21,
ASN-000012-01,HRIS-WKR-000012,POS-ENG-L4-0022,JOB-ENG-L4-04,Engineering L4 Role 04,ENG,L4,Y,0.8,31.2,2019-02-10,
ASN-000013-01,HRIS-WKR-000013,POS-TEC-L5-0208,JOB-TEC-L5-04,Technology L5 Role 04,TEC,L5,Y,1.0,39.0,2024-11-09,
ASN-000014-01,HRIS-WKR-000014,POS-OPS-L6-0068,JOB-OPS-L6-02,Operations L6 Role 02,OPS,L6,Y,0.4,15.6,2019-06-10,
ASN-000015-01,HRIS-WKR-000015,POS-ENG-L6-0031,JOB-ENG-L6-01,Engineering L6 Role 01,ENG,L6,Y,1.0,39.0,2024-07-12,
ASN-000016-01,HRIS-WKR-000016,POS-TEC-L1-0182,JOB-TEC-L1-02,Technology L1 Role 02,TEC,L1,Y,1.0,39.0,2022-03-02,
ASN-000017-01,HRIS-WKR-000017,POS-FIN-L4-0091,JOB-FIN-L4-01,Finance L4 Role 01,FIN,L4,Y,0.8,31.2,2022-08-29,
ASN-000018-01,HRIS-WKR-000018,POS-FIN-L3-0090,JOB-FIN-L3-06,Finance L3 Role 06,FIN,L3,Y,1.0,39.0,2022-02-04,
ASN-000019-01,HRIS-WKR-000019,POS-OPS-L4-0059,JOB-OPS-L4-05,Operations L4 Role 05,OPS,L4,Y,1.0,39.0,2025-06-12,
ASN-000020-01,HRIS-WKR-000020,POS-OPS-L4-0057,JOB-OPS-L4-03,Operations L4 Role 03,OPS,L4,Y,1.0,39.0,2018-08-12,
ASN-000021-01,HRIS-WKR-000021,POS-TEC-L2-0191,JOB-TEC-L2-05,Technology L2 Role 05,TEC,L2,Y,1.0,39.0,2018-01-25,
ASN-000022-01,HRIS-WKR-000022,POS-FIN-L4-0094,JOB-FIN-L4-04,Finance L4 Role 04,FIN,L4,Y,1.0,39.0,2022-02-26,
ASN-000023-01,HRIS-WKR-000023,POS-FIN-L6-0107,JOB-FIN-L6-05,Finance L6 Role 05,FIN,L6,Y,1.0,39.0,2019-10-30,
ASN-000024-01,HRIS-WKR-000024,POS-SAL-L4-0164,JOB-SAL-L4-02,Sales L4 Role 02,SAL,L4,Y,1.0,39.0,2019-10-28,
ASN-000025-01,HRIS-WKR-000025,POS-ENG-L5-0029,JOB-ENG-L5-05,Engineering L5 Role 05,ENG,L5,Y,1.0,39.0,2024-04-29,
ASN-000026-01,HRIS-WKR-000026,POS-FIN-L3-0089,JOB-FIN-L3-05,Finance L3 Role 05,FIN,L3,Y,1.0,39.0,2021-01-18,
ASN-000027-01,HRIS-WKR-000027,POS-OPS-L4-0058,JOB-OPS-L4-04,Operations L4 Role 04,OPS,L4,Y,0.8,31.2,2022-11-25,
ASN-000028-01,HRIS-WKR-000028,POS-FIN-L4-0096,JOB-FIN-L4-06,Finance L4 Role 06,FIN,L4,Y,1.0,39.0,2023-08-12,
ASN-000029-01,HRIS-WKR-000029,POS-SAL-L6-0175,JOB-SAL-L6-01,Sales L6 Role 01,SAL,L6,Y,1.0,39.0,2025-05-18,
ASN-000030-01,HRIS-WKR-000030,POS-TEC-L2-0190,JOB-TEC-L2-04,Technology L2 Role 04,TEC,L2,Y,1.0,39.0,2024-12-06,
ASN-000031-01,HRIS-WKR-000031,POS-ENG-L4-0019,JOB-ENG-L4-01,Engineering L4 Role 01,ENG,L4,Y,0.4,15.6,2024-07-09,
ASN-000032-01,HRIS-WKR-000032,POS-SAL-L4-0167,JOB-SAL-L4-05,Sales L4 Role 05,SAL,L4,Y,,,2022-06-19,
ASN-000033-01,HRIS-WKR-000033,POS-TEC-L6-0212,JOB-TEC-L6-02,Technology L6 Role 02,TEC,L6,Y,1.0,39.0,2020-07-08,
ASN-000033-02,HRIS-WKR-000033,POS-OPS-L4-0058,JOB-OPS-L4-04,Operations L4 Role 04,OPS,L4,N,0.4,15.6,2024-07-12,
ASN-000034-01,HRIS-WKR-000034,POS-FIN-L4-0091,JOB-FIN-L4-01,Finance L4 Role 01,FIN,L4,Y,1.0,39.0,2023-10-08,
ASN-000035-01,HRIS-WKR-000035,POS-TEC-L3-0196,JOB-TEC-L3-04,Technology L3 Role 04,TEC,L3,Y,1.0,39.0,2022-11-21,
ASN-000036-01,HRIS-WKR-000036,POS-OPS-L5-0066,JOB-OPS-L5-06,Operations L5 Role 06,OPS,L5,Y,1.0,39.0,2020-04-26,
ASN-000036-02,HRIS-WKR-000036,POS-FIN-L1-0075,JOB-FIN-L1-03,Finance L1 Role 03,FIN,L1,N,0.2,7.8,2018-10-23,
ASN-000037-01,HRIS-WKR-000037,POS-FIN-L5-0100,JOB-FIN-L5-04,Finance L5 Role 04,FIN,L5,Y,1.0,39.0,2020-05-02,
ASN-000038-01,HRIS-WKR-000038,POS-FIN-L6-0108,JOB-FIN-L6-06,Finance L6 Role 06,FIN,L6,Y,1.0,39.0,2019-01-07,
ASN-000039-01,HRIS-WKR-000039,POS-TEC-L5-0209,JOB-TEC-L5-05,Technology L5 Role 05,TEC,L5,Y,1.0,39.0,2020-05-22,
ASN-000040-01,HRIS-WKR-000040,POS-ENG-L1-0001,JOB-ENG-L1-01,Engineering L1 Role 01,ENG,L1,Y,1.0,39.0,2024-05-25,
ASN-000041-01,HRIS-WKR-000041,POS-FIN-L4-0096,JOB-FIN-L4-06,Finance L4 Role 06,FIN,L4,Y,1.0,39.0,2018-02-17,
ASN-000042-01,HRIS-WKR-000042,POS-SAL-L5-0169,JOB-SAL-L5-01,Sales L5 Role 01,SAL,L5,Y,0.8,31.2,2023-10-02,
ASN-000043-01,HRIS-WKR-000043,POS-OPS-L5-0061,JOB-OPS-L5-01,Operations L5 Role 01,OPS,L5,Y,1.0,39.0,2022-05-22,
ASN-000044-01,HRIS-WKR-000044,POS-ENG-L2-0012,JOB-ENG-L2-06,Engineering L2 Role 06,ENG,L2,Y,1.0,39.0,2022-08-28,
ASN-000044-02,HRIS-WKR-000044,POS-TEC-L5-0206,JOB-TEC-L5-02,Technology L5 Role 02,TEC,L5,N,0.3,11.7,2019-09-18,
ASN-000045-01,HRIS-WKR-000045,POS-TEC-L3-0193,JOB-TEC-L3-01,Technology L3 Role 01,TEC,L3,Y,1.0,39.0,2018-07-10,
ASN-000046-01,HRIS-WKR-000046,POS-OPS-L3-0051,JOB-OPS-L3-03,Operations L3 Role 03,OPS,L3,Y,1.0,39.0,2025-03-04,
ASN-000047-01,HRIS-WKR-000047,POS-OPS-L3-0053,JOB-OPS-L3-05,Operations L3 Role 05,OPS,L3,Y,0.8,31.2,2018-08-14,
ASN-000048-01,HRIS-WKR-000048,POS-OPS-L4-0055,JOB-OPS-L4-01,Operations L4 Role 01,OPS,L4,Y,1.0,39.0,2020-07-04,
ASN-000049-01,HRIS-WKR-000049,POS-HR-L5-0133,JOB-HR-L5-01,People L5 Role 01,HR,L5,Y,1.0,39.0,2019-05-20,
ASN-000050-01,HRIS-WKR-000050,POS-FIN-L6-0106,JOB-FIN-L6-04,Finance L6 Role 04,FIN,L6,Y,1.0,39.0,2020-09-03,
ASN-000051-01,HRIS-WKR-000051,POS-TEC-L1-0183,JOB-TEC-L1-03,Technology L1 Role 03,TEC,L1,Y,1.0,39.0,2018-11-20,
ASN-000052-01,HRIS-WKR-000052,POS-FIN-L1-0077,JOB-FIN-L1-05,Finance L1 Role 05,FIN,L1,Y,1.0,39.0,2019-06-08,
ASN-000053-01,HRIS-WKR-000053,POS-ENG-L4-0021,JOB-ENG-L4-03,Engineering L4 Role 03,ENG,L4,Y,1.0,39.0,2021-11-17,
ASN-000054-01,HRIS-WKR-000054,POS-HR-L5-0134,JOB-HR-L5-02,People L5 Role 02,HR,L5,Y,1.0,39.0,2021-12-06,
ASN-000055-01,HRIS-WKR-000055,POS-OPS-L5-0065,JOB-OPS-L5-05,Operations L5 Role 05,OPS,L5,Y,0.5,19.5,2019-06-22,
ASN-000056-01,HRIS-WKR-000056,POS-OPS-L6-0071,JOB-OPS-L6-05,Operations L6 Role 05,OPS,L6,Y,1.0,39.0,2023-05-05,
ASN-000057-01,HRIS-WKR-000057,POS-HR-L2-0120,JOB-HR-L2-06,People L2 Role 06,HR,L2,Y,1.0,39.0,2018-05-15,
ASN-000058-01,HRIS-WKR-000058,POS-FIN-L4-0093,JOB-FIN-L4-03,Finance L4 Role 03,FIN,L4,Y,1.0,39.0,2025-05-29,
ASN-000059-01,HRIS-WKR-000059,POS-HR-L6-0144,JOB-HR-L6-06,People L6 Role 06,HR,L6,Y,1.0,39.0,2021-11-20,
ASN-000060-01,HRIS-WKR-000060,POS-OPS-L2-0043,JOB-OPS-L2-01,Operations L2 Role 01,OPS,L2,Y,1.0,39.0,2022-11-09,
ASN-000061-01,HRIS-WKR-000061,POS-OPS-L2-0044,JOB-OPS-L2-02,Operations L2 Role 02,OPS,L2,Y,1.0,39.0,2025-05-11,
ASN-000062-01,HRIS-WKR-000062,POS-SAL-L6-0176,JOB-SAL-L6-02,Sales L6 Role 02,SAL,L6,Y,1.0,39.0,2022-07-17,
ASN-000063-01,HRIS-WKR-000063,POS-TEC-L1-0184,JOB-TEC-L1-04,Technology L1 Role 04,TEC,L1,Y,1.0,39.0,2023-08-24,
ASN-000064-01,HRIS-WKR-000064,POS-TEC-L4-0204,JOB-TEC-L4-06,Technology L4 Role 06,TEC,L4,Y,1.0,39.0,2026-01-25,
ASN-000065-01,HRIS-WKR-000065,POS-TEC-L2-0190,JOB-TEC-L2-04,Technology L2 Role 04,TEC,L2,Y,1.0,39.0,2019-01-26,
ASN-000066-01,HRIS-WKR-000066,POS-OPS-L6-0067,JOB-OPS-L6-01,Operations L6 Role 01,OPS,L6,Y,1.0,39.0,2018-11-04,
ASN-000067-01,HRIS-WKR-000067,POS-TEC-L5-0207,JOB-TEC-L5-03,Technology L5 Role 03,TEC,L5,Y,1.0,39.0,2018-10-05,
ASN-000068-01,HRIS-WKR-000068,POS-ENG-L1-0005,JOB-ENG-L1-05,Engineering L1 Role 05,ENG,L1,Y,1.0,39.0,2023-10-05,
ASN-000069-01,HRIS-WKR-000069,POS-TEC-L1-0183,JOB-TEC-L1-03,Technology L1 Role 03,TEC,L1,Y,1.0,39.0,2025-03-11,
ASN-000070-01,HRIS-WKR-000070,POS-OPS-L5-0066,JOB-OPS-L5-06,Operations L5 Role 06,OPS,L5,Y,0.8,31.2,2018-10-03,
ASN-000071-01,HRIS-WKR-000071,POS-SAL-L6-0180,JOB-SAL-L6-06,Sales L6 Role 06,SAL,L6,Y,1.0,39.0,2019-12-25,
ASN-000072-01,HRIS-WKR-000072,POS-OPS-L2-0047,JOB-OPS-L2-05,Operations L2 Role 05,OPS,L2,Y,1.0,39.0,2020-03-18,
ASN-000073-01,HRIS-WKR-000073,POS-SAL-L5-0174,JOB-SAL-L5-06,Sales L5 Role 06,SAL,L5,Y,0.4,15.6,2020-11-12,
ASN-000074-01,HRIS-WKR-000074,POS-FIN-L3-0089,JOB-FIN-L3-05,Finance L3 Role 05,FIN,L3,Y,0.6,23.4,2024-05-08,
ASN-000075-01,HRIS-WKR-000075,POS-HR-L6-0140,JOB-HR-L6-02,People L6 Role 02,HR,L6,Y,1.0,39.0,2024-06-11,
ASN-000076-01,HRIS-WKR-000076,POS-OPS-L5-0061,JOB-OPS-L5-01,Operations L5 Role 01,OPS,L5,Y,1.0,39.0,2021-07-06,
ASN-000077-01,HRIS-WKR-000077,POS-TEC-L6-0211,JOB-TEC-L6-01,Technology L6 Role 01,TEC,L6,Y,1.0,39.0,2024-09-08,
ASN-000078-01,HRIS-WKR-000078,POS-OPS-L3-0049,JOB-OPS-L3-01,Operations L3 Role 01,OPS,L3,Y,0.6,23.4,2024-10-15,
