hris_worker_id,worker_public_id,country_code,legal_entity_id,employment_status,employment_type,contract_type,hire_date,termination_date,gender,department,location,cost_center
HRIS-WKR-000001,WKR-PUB-000001,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-09-01,,F,Sales,Galway,CC-IE-018
HRIS-WKR-000002,WKR-PUB-000002,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2014-03-07,,M,Sales,Dublin,CC-IE-027
HRIS-WKR-000003,WKR-PUB-000003,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2022-09-30,,M,People,Dublin,CC-IE-036
HRIS-WKR-000004,WKR-PUB-000004,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-11-15,,F,Finance,Cork,CC-IE-028
HRIS-WKR-000005,WKR-PUB-000005,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2014-01-10,,F,Engineering,Dublin,CC-IE-033
HRIS-WKR-000006,WKR-PUB-000006,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-07-23,,M,Operations,Limerick,CC-IE-029
HRIS-WKR-000007,WKR-PUB-000007,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2025-04-25,,M,Sales,Remote-IE,CC-IE-003
HRIS-WKR-000008,WKR-PUB-000008,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2017-12-14,,F,Sales,Cork,CC-IE-038
HRIS-WKR-000009,WKR-PUB-000009,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-11-30,,M,People,Dublin,CC-IE-005
HRIS-WKR-000010,WKR-PUB-000010,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2023-04-07,2026-08-11,M,Engineering,Cork,CC-IE-018
HRIS-WKR-000011,WKR-PUB-000011,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2024-02-11,,F,Operations,Remote-IE,CC-IE-005
HRIS-WKR-000012,WKR-PUB-000012,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-10-15,,M,Operations,Dublin,CC-IE-002
HRIS-WKR-000013,WKR-PUB-000013,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-10-30,,M,Engineering,Dublin,CC-IE-015
HRIS-WKR-000014,WKR-PUB-000014,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2019-10-04,2026-11-06,F,Finance,Galway,CC-IE-022
HRIS-WKR-000015,WKR-PUB-000015,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-01-01,,F,Engineering,Dublin,CC-IE-038
HRIS-WKR-000016,WKR-PUB-000016,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-08-04,,F,People,Limerick,CC-IE-001
HRIS-WKR-000017,WKR-PUB-000017,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-05-19,,F,Technology,Dublin,CC-IE-020
HRIS-WKR-000018,WKR-PUB-000018,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2023-05-22,,F,Operations,Dublin,CC-IE-024
HRIS-WKR-000019,WKR-PUB-000019,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-12-20,,M,Operations,Dublin,CC-IE-032
HRIS-WKR-000020,WKR-PUB-000020,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-04-09,,M,Operations,Dublin,CC-IE-020
HRIS-WKR-000021,WKR-PUB-000021,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,APPRENTICE,2016-09-21,,M,People,Dublin,CC-IE-012
HRIS-WKR-000022,WKR-PUB-000022,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-10-03,,,Finance,Dublin,CC-IE-018
HRIS-WKR-000023,WKR-PUB-000023,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-01-22,,M,Sales,Remote-IE,CC-IE-001
HRIS-WKR-000024,WKR-PUB-000024,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-01-22,,F,Engineering,Dublin,CC-IE-020
HRIS-WKR-000025,WKR-PUB-000025,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-07-29,,F,Sales,Dublin,CC-IE-035
HRIS-WKR-000026,WKR-PUB-000026,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-07-21,,F,Sales,Dublin,CC-IE-029
HRIS-WKR-000027,WKR-PUB-000027,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-09-13,,F,Sales,Cork,CC-IE-016
HRIS-WKR-000028,WKR-PUB-000028,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,FIXED_TERM,2022-05-27,,F,Operations,Cork,CC-IE-030
HRIS-WKR-000029,WKR-PUB-000029,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-06-21,,M,Sales,Dublin,CC-IE-022
HRIS-WKR-000030,WKR-PUB-000030,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2022-09-04,,M,Finance,Dublin,CC-IE-023
HRIS-WKR-000031,WKR-PUB-000031,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-07-05,,M,Engineering,Cork,CC-IE-039
HRIS-WKR-000032,WKR-PUB-000032,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2024-12-09,2026-04-08,F,Engineering,Cork,CC-IE-039
HRIS-WKR-000033,WKR-PUB-000033,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-05-01,,M,Sales,Dublin,CC-IE-010
