position_id,job_code,job_title,job_family,job_level,factor_skills_score,factor_effort_score,factor_responsibility_score,factor_working_conditions_score,methodology_version_reference
POS-ENG-L1-0001,JOB-ENG-L1-01,Engineering L1 Role 01,ENG,L1,1,1,1,0,methodology_v1@v1.0.0
POS-ENG-L1-0002,JOB-ENG-L1-02,Engineering L1 Role 02,ENG,L1,2,1,1,1,methodology_v1@v1.0.0
POS-ENG-L1-0003,JOB-ENG-L1-03,Engineering L1 Role 03,ENG,L1,2,1,2,1,methodology_v1@v1.0.0
POS-ENG-L1-0004,JOB-ENG-L1-04,Engineering L1 Role 04,ENG,L1,0,0,2,0,methodology_v1@v1.0.0
POS-ENG-L1-0005,JOB-ENG-L1-05,Engineering L1 Role 05,ENG,L1,2,2,2,0,methodology_v1@v1.0.0
POS-ENG-L1-0006,JOB-ENG-L1-06,Engineering L1 Role 06,ENG,L1,2,0,1,0,methodology_v1@v1.0.0
POS-ENG-L2-0007,JOB-ENG-L2-01,Engineering L2 Role 01,ENG,L2,0,1,1,1,methodology_v1@v1.0.0
POS-ENG-L2-0008,JOB-ENG-L2-02,Engineering L2 Role 02,ENG,L2,2,2,1,1,methodology_v1@v1.0.0
POS-ENG-L2-0009,JOB-ENG-L2-03,Engineering L2 Role 03,ENG,L2,2,2,2,1,methodology_v1@v1.0.0
POS-ENG-L2-0010,JOB-ENG-L2-04,Engineering L2 Role 04,ENG,L2,2,1,3,2,methodology_v1@v1.0.0
POS-ENG-L2-0011,JOB-ENG-L2-05,Engineering L2 Role 05,ENG,L2,2,2,2,2,methodology_v1@v1.0.0
POS-ENG-L2-0012,JOB-ENG-L2-06,Engineering L2 Role 06,ENG,L2,2,1,2,2,methodology_v1@v1.0.0
POS-ENG-L3-0013,JOB-ENG-L3-01,Engineering L3 Role 01,ENG,L3,2,1,3,1,methodology_v1@v1.0.0
POS-ENG-L3-0014,JOB-ENG-L3-02,Engineering L3 Role 02,ENG,L3,2,2,3,1,methodology_v1@v1.0.0
POS-ENG-L3-0015,JOB-ENG-L3-03,Engineering L3 Role 03,ENG,L3,2,3,2,1,methodology_v1@v1.0.0
POS-ENG-L3-0016,JOB-ENG-L3-04,Engineering L3 Role 04,ENG,L3,3,4,3,1,methodology_v1@v1.0.0
POS-ENG-L3-0017,JOB-ENG-L3-05,Engineering L3 Role 05,ENG,L3,3,3,4,1,methodology_v1@v1.0.0
POS-ENG-L3-0018,JOB-ENG-L3-06,Engineering L3 Role 06,ENG,L3,3,2,2,3,methodology_v1@v1.0.0
POS-ENG-L4-0019,JOB-ENG-L4-01,Engineering L4 Role 01,ENG,L4,3,1,3,1,methodology_v1@v1.0.0
POS-ENG-L4-0020,JOB-ENG-L4-02,Engineering L4 Role 02,ENG,L4,3,1,3,2,methodology_v1@v1.0.0
POS-ENG-L4-0021,JOB-ENG-L4-03,Engineering L4 Role 03,ENG,L4,3,2,3,1,methodology_v1@v1.0.0
POS-ENG-L4-0022,JOB-ENG-L4-04,Engineering L4 Role 04,ENG,L4,3,1,4,2,methodology_v1@v1.0.0
POS-ENG-L4-0023,JOB-ENG-L4-05,Engineering L4 Role 05,ENG,L4,4,3,3,2,methodology_v1@v1.0.0
POS-ENG-L4-0024,JOB-ENG-L4-06,Engineering L4 Role 06,ENG,L4,4,3,3,1,methodology_v1@v1.0.0
POS-ENG-L5-0025,JOB-ENG-L5-01,Engineering L5 Role 01,ENG,L5,4,2,4,0,methodology_v1@v1.0.0
POS-ENG-L5-0026,JOB-ENG-L5-02,Engineering L5 Role 02,ENG,L5,4,2,4,2,methodology_v1@v1.0.0
POS-ENG-L5-0027,JOB-ENG-L5-03,Engineering L5 Role 03,ENG,L5,4,3,3,1,methodology_v1@v1.0.0
POS-ENG-L5-0028,JOB-ENG-L5-04,Engineering L5 Role 04,ENG,L5,4,3,4,1,methodology_v1@v1.0.0
POS-ENG-L5-0029,JOB-ENG-L5-05,Engineering L5 Role 05,ENG,L5,4,2,4,1,methodology_v1@v1.0.0
POS-ENG-L5-0030,JOB-ENG-L5-06,Engineering L5 Role 06,ENG,L5,3,3,3,2,methodology_v1@v1.0.0
POS-ENG-L6-0031,JOB-ENG-L6-01,Engineering L6 Role 01,ENG,L6,4,3,4,1,methodology_v1@v1.0.0
POS-ENG-L6-0032,JOB-ENG-L6-02,Engineering L6 Role 02,ENG,L6,4,2,4,2,methodology_v1@v1.0.0
POS-ENG-L6-0033,JOB-ENG-L6-03,Engineering L6 Role 03,ENG,L6,4,4,4,2,methodology_v1@v1.0.0
POS-ENG-L6-0034,JOB-ENG-L6-04,Engineering L6 Role 04,ENG,L6,4,3,4,1,methodology_v1@v1.0.0
POS-ENG-L6-0035,JOB-ENG-L6-05,Engineering L6 Role 05,ENG,L6,4,2,4,2,methodology_v1@v1.0.0
POS-ENG-L6-0036,JOB-ENG-L6-06,Engineering L6 Role 06,ENG,L6,4,4,3,3,methodology_v1@v1.0.0
POS-OPS-L1-0037,JOB-OPS-L1-01,Operations L1 Role 01,OPS,L1,1,1,2,2,methodology_v1@v1.0.0
POS-OPS-L1-0038,JOB-OPS-L1-02,Operations L1 Role 02,OPS,L1,2,1,2,2,methodology_v1@v1.0.0
POS-OPS-L1-0039,JOB-OPS-L1-03,Operations L1 Role 03,OPS,L1,1,1,1,2,methodology_v1@v1.0.0
POS-OPS-L1-0040,JOB-OPS-L1-04,Operations L1 Role 04,OPS,L1,1,0,2,1,methodology_v1@v1.0.0
POS-OPS-L1-0041,JOB-OPS-L1-05,Operations L1 Role 05,OPS,L1,2,2,1,0,methodology_v1@v1.0.0
POS-OPS-L1-0042,JOB-OPS-L1-06,Operations L1 Role 06,OPS,L1,0,0,2,1,methodology_v1@v1.0.0
POS-OPS-L2-0043,JOB-OPS-L2-01,Operations L2 Role 01,OPS,L2,1,2,3,1,methodology_v1@v1.0.0
POS-OPS-L2-0044,JOB-OPS-L2-02,Operations L2 Role 02,OPS,L2,3,2,2,0,methodology_v1@v1.0.0
POS-OPS-L2-0045,JOB-OPS-L2-03,Operations L2 Role 03,OPS,L2,2,3,2,1,methodology_v1@v1.0.0
POS-OPS-L2-0046,JOB-OPS-L2-04,Operations L2 Role 04,OPS,L2,0,1,2,1,methodology_v1@v1.0.0
POS-OPS-L2-0047,JOB-OPS-L2-05,Operations L2 Role 05,OPS,L2,2,1,2,1,methodology_v1@v1.0.0
POS-OPS-L2-0048,JOB-OPS-L2-06,Operations L2 Role 06,OPS,L2,2,1,3,2,methodology_v1@v1.0.0
POS-OPS-L3-0049,JOB-OPS-L3-01,Operations L3 Role 01,OPS,L3,2,1,4,2,methodology_v1@v1.0.0
POS-OPS-L3-0050,JOB-OPS-L3-02,Operations L3 Role 02,OPS,L3,2,2,3,1,methodology_v1@v1.0.0
POS-OPS-L3-0051,JOB-OPS-L3-03,Operations L3 Role 03,OPS,L3,2,1,2,3,methodology_v1@v1.0.0
POS-OPS-L3-0052,JOB-OPS-L3-04,Operations L3 Role 04,OPS,L3,3,2,3,0,methodology_v1@v1.0.0
POS-OPS-L3-0053,JOB-OPS-L3-05,Operations L3 Role 05,OPS,L3,2,2,2,1,methodology_v1@v1.0.0
POS-OPS-L3-0054,JOB-OPS-L3-06,Operations L3 Role 06,OPS,L3,4,1,2,2,methodology_v1@v1.0.0
POS-OPS-L4-0055,JOB-OPS-L4-01,Operations L4 Role 01,OPS,L4,3,3,3,1,methodology_v1@v1.0.0
POS-OPS-L4-0056,JOB-OPS-L4-02,Operations L4 Role 02,OPS,L4,3,2,3,1,methodology_v1@v1.0.0
POS-OPS-L4-0057,JOB-OPS-L4-03,Operations L4 Role 03,OPS,L4,3,3,4,1,methodology_v1@v1.0.0
POS-OPS-L4-0058,JOB-OPS-L4-04,Operations L4 Role 04,OPS,L4,3,0,4,2,methodology_v1@v1.0.0
POS-OPS-L4-0059,JOB-OPS-L4-05,Operations L4 Role 05,OPS,L4,3,2,2,2,methodology_v1@v1.0.0
POS-OPS-L4-0060,JOB-OPS-L4-06,Operations L4 Role 06,OPS,L4,3,3,3,3,methodology_v1@v1.0.0
POS-OPS-L5-0061,JOB-OPS-L5-01,Operations L5 Role 01,OPS,L5,3,2,4,2,methodology_v1@v1.0.0
POS-OPS-L5-0062,JOB-OPS-L5-02,Operations L5 Role 02,OPS,L5,3,2,3,2,methodology_v1@v1.0.0
POS-OPS-L5-0063,JOB-OPS-L5-03,Operations L5 Role 03,OPS,L5,4,3,4,0,methodology_v1@v1.0.0
POS-OPS-L5-0064,JOB-OPS-L5-04,Operations L5 Role 04,OPS,L5,4,3,4,2,methodology_v1@v1.0.0
POS-OPS-L5-0065,JOB-OPS-L5-05,Operations L5 Role 05,OPS,L5,3,3,4,2,methodology_v1@v1.0.0
POS-OPS-L5-0066,JOB-OPS-L5-06,Operations L5 Role 06,OPS,L5,3,3,3,2,methodology_v1@v1.0.0
POS-OPS-L6-0067,JOB-OPS-L6-01,Operations L6 Role 01,OPS,L6,4,3,4,3,methodology_v1@v1.0.0
POS-OPS-L6-0068,JOB-OPS-L6-02,Operations L6 Role 02,OPS,L6,4,4,3,3,methodology_v1@v1.0.0
POS-OPS-L6-0069,JOB-OPS-L6-03,Operations L6 Role 03,OPS,L6,4,2,4,3,methodology_v1@v1.0.0
POS-OPS-L6-0070,JOB-OPS-L6-04,Operations L6 Role 04,OPS,L6,3,2,3,2,methodology_v1@v1.0.0
POS-OPS-L6-0071,JOB-OPS-L6-05,Operations L6 Role 05,OPS,L6,4,4,4,2,methodology_v1@v1.0.0
POS-OPS-L6-0072,JOB-OPS-L6-06,Operations L6 Role 06,OPS,L6,4,4,4,3,methodology_v1@v1.0.0
POS-FIN-L1-0073,JOB-FIN-L1-01,Finance L1 Role 01,FIN,L1,1,1,1,1,methodology_v1@v1.0.0
POS-FIN-L1-0074,JOB-FIN-L1-02,Finance L1 Role 02,FIN,L1,1,0,2,2,methodology_v1@v1.0.0
POS-FIN-L1-0075,JOB-FIN-L1-03,Finance L1 Role 03,FIN,L1,2,0,1,1,methodology_v1@v1.0.0
POS-FIN-L1-0076,JOB-FIN-L1-04,Finance L1 Role 04,FIN,L1,1,1,1,1,methodology_v1@v1.0.0
POS-FIN-L1-0077,JOB-FIN-L1-05,Finance L1 Role 05,FIN,L1,3,1,2,0,methodology_v1@v1.0.0
POS-FIN-L1-0078,JOB-FIN-L1-06,Finance L1 Role 06,FIN,L1,1,0,1,0,methodology_v1@v1.0.0
POS-FIN-L2-0079,JOB-FIN-L2-01,Finance L2 Role 01,FIN,L2,1,0,2,0,methodology_v1@v1.0.0
POS-FIN-L2-0080,JOB-FIN-L2-02,Finance L2 Role 02,FIN,L2,2,2,3,1,methodology_v1@v1.0.0
POS-FIN-L2-0081,JOB-FIN-L2-03,Finance L2 Role 03,FIN,L2,3,1,3,1,methodology_v1@v1.0.0
POS-FIN-L2-0082,JOB-FIN-L2-04,Finance L2 Role 04,FIN,L2,3,2,3,1,methodology_v1@v1.0.0
POS-FIN-L2-0083,JOB-FIN-L2-05,Finance L2 Role 05,FIN,L2,2,1,3,2,methodology_v1@v1.0.0
POS-FIN-L2-0084,JOB-FIN-L2-06,Finance L2 Role 06,FIN,L2,1,0,4,0,methodology_v1@v1.0.0
POS-FIN-L3-0085,JOB-FIN-L3-01,Finance L3 Role 01,FIN,L3,4,2,3,1,methodology_v1@v1.0.0
POS-FIN-L3-0086,JOB-FIN-L3-02,Finance L3 Role 02,FIN,L3,3,2,3,0,methodology_v1@v1.0.0
POS-FIN-L3-0087,JOB-FIN-L3-03,Finance L3 Role 03,FIN,L3,1,2,3,2,methodology_v1@v1.0.0
POS-FIN-L3-0088,JOB-FIN-L3-04,Finance L3 Role 04,FIN,L3,3,2,1,1,methodology_v1@v1.0.0
