hris_worker_id,payroll_worker_id,legal_entity_id,crosswalk_status,crosswalk_version
HRIS-WKR-000001,PAY-WKR-000001,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000002,PAY-WKR-000002,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000003,PAY-WKR-000003,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000004,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000005,PAY-WKR-000004,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000006,PAY-WKR-000005,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000007,PAY-WKR-000006,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000008,PAY-WKR-000007,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000009,PAY-WKR-000008,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000010,PAY-WKR-000009,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000011,PAY-WKR-000010,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000012,PAY-WKR-000011,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000013,PAY-WKR-000012,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000014,PAY-WKR-000013,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000015,PAY-WKR-000014,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000016,PAY-WKR-000015,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000017,PAY-WKR-000016,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000018,PAY-WKR-DUP-000001,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000019,PAY-WKR-000017,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000020,PAY-WKR-000018,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000021,PAY-WKR-000019,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000022,PAY-WKR-000020,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000023,PAY-WKR-000021,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000024,PAY-WKR-000022,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000025,PAY-WKR-000023,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000026,PAY-WKR-000024,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000027,PAY-WKR-000025,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000028,PAY-WKR-000026,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000029,PAY-WKR-000027,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000030,PAY-WKR-000028,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000031,PAY-WKR-000029,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000032,PAY-WKR-000030,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000033,PAY-WKR-000031,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000034,PAY-WKR-000032,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000035,PAY-WKR-000033,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000036,PAY-WKR-000034,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000037,PAY-WKR-000035,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000038,PAY-WKR-DUP-000001,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000039,PAY-WKR-000036,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000040,PAY-WKR-000037,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000041,PAY-WKR-000038,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000042,PAY-WKR-000039,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000043,PAY-WKR-000040,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000044,PAY-WKR-000041,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000045,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000046,PAY-WKR-000042,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000047,PAY-WKR-000043,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000048,PAY-WKR-000044,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000049,PAY-WKR-000045,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000050,PAY-WKR-000046,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000051,PAY-WKR-000047,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000052,PAY-WKR-000048,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000053,PAY-WKR-000049,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000054,PAY-WKR-000050,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000055,PAY-WKR-000051,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000056,PAY-WKR-000052,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000057,PAY-WKR-000053,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000058,PAY-WKR-000054,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000059,PAY-WKR-000055,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000060,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000061,PAY-WKR-000056,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000062,PAY-WKR-000057,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000063,PAY-WKR-000058,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000064,PAY-WKR-000059,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000065,PAY-WKR-000060,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000066,PAY-WKR-000061,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000067,PAY-WKR-000062,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000068,PAY-WKR-000063,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000069,PAY-WKR-000064,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000070,PAY-WKR-000065,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000071,PAY-WKR-000066,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000072,PAY-WKR-000067,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000073,PAY-WKR-000068,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000074,PAY-WKR-000069,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000075,PAY-WKR-000070,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000076,PAY-WKR-000071,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000077,PAY-WKR-000072,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000078,PAY-WKR-000073,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000079,PAY-WKR-000074,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000080,PAY-WKR-000075,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000081,PAY-WKR-000076,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000082,PAY-WKR-000077,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000083,PAY-WKR-000078,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000084,PAY-WKR-000079,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000085,PAY-WKR-000080,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000086,PAY-WKR-000081,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000087,PAY-WKR-000082,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000088,PAY-WKR-000083,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000089,PAY-WKR-000084,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
