payroll_line_id,payroll_run_id,payroll_worker_id,earning_code,earning_description,amount,currency_code,component_family_candidate,off_cycle_flag,retro_flag
LINE-000000001,RUN-IE-2026-02-REG-001,PAY-WKR-000001,BASE,Base salary,8052.58,EUR,BASE,N,N
LINE-000000002,RUN-IE-2026-02-REG-001,PAY-WKR-000002,BASE,Base salary,6241.22,EUR,BASE,N,N
LINE-000000003,RUN-IE-2026-02-REG-001,PAY-WKR-000002,ALLOW_TRAVEL,Travel allowance (excluded),79.75,EUR,ALLOWANCE,N,N
LINE-000000004,RUN-IE-2026-02-REG-001,PAY-WKR-000002,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),-13.26,EUR,EXCLUDED,Y,N
LINE-000000005,RUN-IE-2026-02-REG-001,PAY-WKR-000003,BASE,Base salary,13449.83,EUR,BASE,N,N
LINE-000000006,RUN-IE-2026-02-REG-001,PAY-WKR-000003,BONUS,Bonus payment,4382.46,EUR,VARIABLE,N,N
LINE-000000007,RUN-IE-2026-02-REG-001,PAY-WKR-000004,SUSPECT_BASE,Suspected misclassified base-like code,860.54,EUR,BASE,N,N
LINE-000000008,RUN-IE-2026-02-REG-001,PAY-WKR-000004,BASE,Base salary,15080.59,EUR,BASE,N,N
LINE-000000009,RUN-IE-2026-02-REG-001,PAY-WKR-000005,BASE,Base salary,3347.56,EUR,BASE,N,N
LINE-000000010,RUN-IE-2026-02-REG-001,PAY-WKR-000006,UNMAPPED_X,Intentionally unmapped code (blocker),186.59,EUR,UNKNOWN,N,N
LINE-000000011,RUN-IE-2026-02-REG-001,PAY-WKR-000006,BASE,Base salary,5450.9,EUR,BASE,N,N
LINE-000000012,RUN-IE-2026-02-REG-001,PAY-WKR-000007,BASE,Base salary,5284.44,EUR,BASE,N,N
LINE-000000013,RUN-IE-2026-02-REG-001,PAY-WKR-000008,BASE,Base salary,12674.11,EUR,BASE,N,N
LINE-000000014,RUN-IE-2026-02-REG-001,PAY-WKR-000008,BONUS,Bonus payment,2031.65,EUR,VARIABLE,N,N
LINE-000000015,RUN-IE-2026-02-REG-001,PAY-WKR-000008,ALLOW_TRAVEL,Travel allowance (excluded),97.16,EUR,ALLOWANCE,N,N
LINE-000000016,RUN-IE-2026-02-REG-001,PAY-WKR-000009,BASE,Base salary,11518.3,EUR,BASE,N,N
LINE-000000017,RUN-IE-2026-02-REG-001,PAY-WKR-000010,BASE,Base salary,6524.25,EUR,BASE,N,N
LINE-000000018,RUN-IE-2026-02-REG-001,PAY-WKR-000010,BONUS,Bonus payment,674.49,EUR,VARIABLE,N,N
LINE-000000019,RUN-IE-2026-02-REG-001,PAY-WKR-000011,BASE,Base salary,5037.42,EUR,BASE,N,N
LINE-000000020,RUN-IE-2026-02-REG-001,PAY-WKR-000011,ALLOW_TRAVEL,Travel allowance (excluded),41.37,EUR,ALLOWANCE,N,N
LINE-000000021,RUN-IE-2026-02-REG-001,PAY-WKR-000012,BASE,Base salary,10221.95,EUR,BASE,N,N
LINE-000000022,RUN-IE-2026-02-REG-001,PAY-WKR-000012,BONUS,Bonus payment,2189.76,EUR,VARIABLE,N,N
LINE-000000023,RUN-IE-2026-02-REG-001,PAY-WKR-000012,RETRO_ADJ,Retro adjustment (excluded),575.33,EUR,EXCLUDED,N,Y
LINE-000000024,RUN-IE-2026-02-REG-001,PAY-WKR-000013,BASE,Base salary,5803.77,EUR,BASE,N,N
LINE-000000025,RUN-IE-2026-02-REG-001,PAY-WKR-000014,BASE,Base salary,14431.39,EUR,BASE,N,N
LINE-000000026,RUN-IE-2026-02-REG-001,PAY-WKR-000015,SUSPECT_BASE,Suspected misclassified base-like code,1148.89,EUR,BASE,N,N
LINE-000000027,RUN-IE-2026-02-REG-001,PAY-WKR-000015,BASE,Base salary,3259.5,EUR,BASE,N,N
LINE-000000028,RUN-IE-2026-02-REG-001,PAY-WKR-000016,BASE,Base salary,4806.26,EUR,BASE,N,N
LINE-000000029,RUN-IE-2026-02-REG-001,PAY-WKR-000016,BONUS,Bonus payment,328.77,EUR,VARIABLE,N,N
LINE-000000030,RUN-IE-2026-02-REG-001,PAY-WKR-DUP-000001,BASE,Base salary,4618.93,EUR,BASE,N,N
LINE-000000031,RUN-IE-2026-02-REG-001,PAY-WKR-000017,BASE,Base salary,7529.58,EUR,BASE,N,N
LINE-000000032,RUN-IE-2026-02-REG-001,PAY-WKR-000017,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),137.93,EUR,EXCLUDED,Y,N
LINE-000000033,RUN-IE-2026-02-REG-001,PAY-WKR-000018,BASE,Base salary,6001.92,EUR,BASE,N,N
LINE-000000034,RUN-IE-2026-02-REG-001,PAY-WKR-000019,BASE,Base salary,3812.98,EUR,BASE,N,N
LINE-000000035,RUN-IE-2026-02-REG-001,PAY-WKR-000020,BASE,Base salary,7584.78,EUR,BASE,N,N
LINE-000000036,RUN-IE-2026-02-REG-001,PAY-WKR-000021,BASE,Base salary,15216.96,EUR,BASE,N,N
LINE-000000037,RUN-IE-2026-02-REG-001,PAY-WKR-000021,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),272.0,EUR,EXCLUDED,Y,N
LINE-000000038,RUN-IE-2026-02-REG-001,PAY-WKR-000022,BASE,Base salary,7255.56,EUR,BASE,N,N
LINE-000000039,RUN-IE-2026-02-REG-001,PAY-WKR-000023,SUSPECT_BASE,Suspected misclassified base-like code,1099.12,EUR,BASE,N,N
LINE-000000040,RUN-IE-2026-02-REG-001,PAY-WKR-000023,BASE,Base salary,10619.23,EUR,BASE,N,N
LINE-000000041,RUN-IE-2026-02-REG-001,PAY-WKR-000024,BASE,Base salary,4488.21,EUR,BASE,N,N
LINE-000000042,RUN-IE-2026-02-REG-001,PAY-WKR-000025,SUSPECT_BASE,Suspected misclassified base-like code,1068.54,EUR,BASE,N,N
LINE-000000043,RUN-IE-2026-02-REG-001,PAY-WKR-000025,BASE,Base salary,5298.32,EUR,BASE,N,N
LINE-000000044,RUN-IE-2026-02-REG-001,PAY-WKR-000026,BASE,Base salary,6347.44,EUR,BASE,N,N
LINE-000000045,RUN-IE-2026-02-REG-001,PAY-WKR-000027,BASE,Base salary,12043.83,EUR,BASE,N,N
