worker_id,base_pay,gender,job_title,job_family_code,job_subfamily_code,job_grade_or_level
HRIS-WKR-000055,5145.46,M,Operations L5 Role 05,OPS,,L5
HRIS-WKR-000056,12015.45,F,Operations L6 Role 05,OPS,,L6
HRIS-WKR-000069,3248.15,M,Technology L1 Role 03,TEC,,L1
HRIS-WKR-000152,4244.95,M,Sales L4 Role 06,SAL,,L4
HRIS-WKR-000193,2632.18,M,Finance L1 Role 05,FIN,,L1
HRIS-WKR-000261,3292.62,M,Engineering L1 Role 05,ENG,,L1
HRIS-WKR-000272,5267.50,M,Sales L3 Role 04,SAL,,L3
HRIS-WKR-000274,10970.76,M,Technology L5 Role 06,TEC,,L5
HRIS-WKR-000280,8213.31,M,Engineering L5 Role 04,ENG,,L5
HRIS-WKR-000338,7894.01,M,Engineering L4 Role 05,ENG,,L4
HRIS-WKR-000359,6512.29,M,Technology L4 Role 04,TEC,,L4
HRIS-WKR-000405,5417.84,F,Operations L5 Role 03,OPS,,L5
HRIS-WKR-000428,4734.96,M,Sales L3 Role 02,SAL,,L3
HRIS-WKR-000454,8592.23,M,Technology L5 Role 03,TEC,,L5
HRIS-WKR-000458,2265.41,M,Technology L1 Role 02,TEC,,L1
HRIS-WKR-000545,3294.69,F,Engineering L4 Role 05,ENG,,L2
HRIS-WKR-000589,11490.07,M,Finance L6 Role 06,FIN,,L6
HRIS-WKR-000640,3338.37,M,Sales L2 Role 06,SAL,,L2
HRIS-WKR-000714,11268.13,M,Sales L6 Role 04,SAL,,L6
HRIS-WKR-000730,14300.35,M,Engineering L6 Role 05,ENG,,L6
HRIS-WKR-000736,3046.07,F,Technology L1 Role 05,TEC,,L1
HRIS-WKR-000838,8120.76,F,Operations L5 Role 06,OPS,,L5
HRIS-WKR-000845,4879.83,M,Engineering L3 Role 02,ENG,,L3
HRIS-WKR-000859,3794.76,M,Finance L4 Role 01,FIN,,L4
HRIS-WKR-000864,11868.57,F,Sales L6 Role 03,SAL,,L6
